	('pCREB', 'Marker-type: phospho marker')	('pMAPKAP2', 'Marker-type: phospho marker')	('pERK1 2', 'Marker-type: phospho marker')	('pp38', 'Marker-type: phospho marker')	('pS6', 'Marker-type: phospho marker')	('CD14', 'Marker-type: surface marker')	('pPLCg2', 'Marker-type: phospho marker')	('pSTAT1', 'Marker-type: phospho marker')	('pSTAT5', 'Marker-type: phospho marker')	('HLADR', 'Marker-type: surface marker')	('CD1c', 'Marker-type: surface marker')	('CD19', 'Marker-type: surface marker')	('pSTAT3', 'Marker-type: phospho marker')	('CD123', 'Marker-type: surface marker')	('CD38', 'Marker-type: surface marker')	('CD16', 'Marker-type: surface marker')	('CD161', 'Marker-type: surface marker')	('CD66b', 'Marker-type: surface marker')	('CD57', 'Marker-type: surface marker')	('CD56', 'Marker-type: surface marker')	('CD3', 'Marker-type: surface marker')	('CD4', 'Marker-type: surface marker')	('IkBa', 'Marker-type: phospho marker')	('CD45', 'Marker-type: surface marker')	('CD27', 'Marker-type: surface marker')	('CD127', 'Marker-type: surface marker')	('CD25', 'Marker-type: surface marker')	('CD8', 'Marker-type: surface marker')
('cluster-949', 'Majority-Treatment: PMA', 'number in clust: 140')	0.09254457010801383	-0.08479860428040722	0.6112826553869836	-0.018781322947253275	0.1639274673573887	-0.29690043403132754	-0.33894110887184364	-0.36187407510109637	-0.2984633580507332	-0.3098320905857429	-0.16144871799106994	-0.23619395300067622	-0.02689397560902784	-0.12459044674067442	-0.34225637779274265	-0.18846837631644345	-0.30603371307665345	-0.08554985264104205	-0.2450330826216297	-0.1096818405084407	-0.09542084509705227	1.128386783941828	1.6511621623197583	-0.6316304797939022	-0.26818919740464703	-0.22223258239913668	-0.25534392079272883	-0.40377451958546823
('cluster-1635', 'Majority-Treatment: PMA', 'number in clust: 233')	0.12737680271347102	0.06485013762959682	0.3770090897506776	-0.15729410633965152	0.06609094618737044	-0.2687271466817098	-0.3700905264516121	-0.41537589698886923	-0.43166610263062977	-0.30257614424095275	-0.14899850699317216	-0.22242893810548564	-0.01748863799101824	-0.12848050200337932	-0.2674038783794179	-0.2586571392697832	-0.26530143715143467	-0.09761132701024404	-0.2574789773303347	-0.22208461540178548	1.5512848092208054	1.182710871884304	1.0321024223222341	-0.7089722307732007	-0.4063248841399716	-0.23690393102403173	-0.02049236828112033	-0.38387141473559544
('cluster-1208', 'Majority-Treatment: PMA', 'number in clust: 164')	-0.06353732885070311	0.564665528792538	0.14995398352574432	0.3663259580838679	-0.0010258284098751856	-0.300344813875248	-0.4596459014604918	-0.5096917462630753	-0.3388355470914311	-0.31618859596881876	-0.14827814295974895	-0.2640001719022275	0.039500584419746736	-0.1251714971722847	-0.08496344724393816	-0.28523094504841606	-0.19746750123730103	-0.10692153154117505	-0.2464825774204519	-0.2868985730116177	0.8654507818648793	1.0574643796295593	1.0196754972594446	-0.2789490961253638	-0.43562584675237315	-0.20029426689013666	-0.1463000904659088	-0.422505035042275
('cluster-288', 'Majority-Treatment: PMA', 'number in clust: 466')	0.14408481063392367	0.1258828789737398	0.42263838874686993	-0.04800141781471912	0.07003818942476103	-0.28933625415073133	-0.4313422170541732	-0.35158622509070264	-0.46558176691556374	-0.31368926403238523	-0.15489962133335247	-0.20572585789325634	-0.01513774566799474	-0.12609032033339532	-0.28207585578183847	-0.24431086084060355	-0.2985304957351116	-0.07509044582364399	-0.24696337771963855	-0.2901540459463347	0.5032201064061251	0.6058132029226139	0.5695304524651601	0.06836167514874401	-0.299489647381277	-0.22586446938267618	-0.3600995122330165	-0.40745324831808116
('cluster-1192', 'Majority-Treatment: PMA', 'number in clust: 210')	0.1357177475738518	0.25489435589579373	0.2559847307072941	0.07278599978229845	0.06775333466513152	-0.2832740062821194	-0.3044018991353688	0.44755503931474105	-0.31841512914819337	-0.317763457649507	-0.1365976013401514	-0.2259241124342723	-0.010620389825101233	-0.11690945497304298	-0.18820302223076985	-0.2590405757247999	-0.2629976289504116	-0.08410198490223447	-0.2601005974005156	-0.25049621213998396	0.5626778780483738	1.292814420226203	0.4406884185990226	-0.5011850120487771	-0.40168174411116864	-0.25829328548015007	-0.2791510346142448	-0.38684934152735945
('cluster-676', 'Majority-Treatment: PMA', 'number in clust: 245')	0.2684068238476379	0.18784347214833064	0.3352693460492271	-0.10924366055064161	0.06872153131974751	-0.3011074252905229	-0.37021624084898547	-0.4123296669838505	-0.2459921935460871	-0.31204645851758966	-0.14945320035735887	-0.22745781372876417	-0.009671430823523218	-0.10507604841082771	-0.26926153023777954	-0.24925964637562292	-0.2683096400576675	-0.09268339644264419	-0.24388094676718325	-0.2414406497853832	0.424774120749081	1.5365720506999183	0.5802096017857203	-0.6326439456381215	-0.36462321363293754	-0.1756060664907418	-0.0937518436721612	-0.40744845215814585
('cluster-25', 'Majority-Treatment: PMA', 'number in clust: 198')	0.3725625687979014	0.5570014359780883	0.6439478087396867	0.5852994418408739	0.08563185641318985	-0.2933259282982514	-0.37271165550489566	-0.2300536525158298	-0.47135391303020213	-0.3135314830241741	-0.13462311404106014	-0.23042304643027306	-0.004916421128894237	-0.11023951273435563	-0.15983305890396088	-0.24898437529276984	-0.3102763841749953	-0.0776754147947661	-0.2708323955642849	-0.24930470330807036	0.606050412004989	1.4566984521450206	0.09391831842926303	-0.6785317758091466	0.1569487625558597	-0.19928171840193468	-0.27981086054691845	-0.40080901377018424
('cluster-1505', 'Majority-Treatment: PMA', 'number in clust: 126')	1.3483249216955595	1.5119681675610672	1.5972399742622638	0.7475102180695397	0.36090830570350274	-0.2862856368588351	-0.12372567548921111	-0.20347646684203227	-0.26944292882114107	-0.3253399331963835	-0.12422510850957609	-0.24132803723326873	-0.005353819762087224	-0.09748239388961212	-0.3058563160077649	-0.1599712089571823	-0.21785663182042306	-0.08810186087242927	-0.2558882144858671	-0.19393130394502725	1.8842094011409762	1.5407521722122572	2.187311632572066	0.5409524199100889	0.25955663052056055	-0.2648021786888409	0.12002549981050017	-0.3889360733157095
('cluster-377', 'Majority-Treatment: PMA', 'number in clust: 155')	0.5611061596121217	0.7468905546872326	1.183598126836437	-0.0773595985000478	0.16932026128800906	-0.2964741653671565	-0.31623938792038836	-0.18855426400467265	-0.2739484904384316	-0.2949268203613435	-0.1317840417675357	-0.2660588403252387	-0.012914471163072263	-0.1276500692266776	-0.3097518754304187	-0.24377888042791518	-0.1726348242786171	-0.10507087770126686	-0.25873225172138076	-0.33757309768574933	0.8198048374983833	1.048565999125215	1.5387992714379082	0.6610586942771858	-0.3743527971748531	-0.26966713075862275	-0.0360933042133233	-0.34052096405480164
('cluster-1853', 'Majority-Treatment: PMA', 'number in clust: 151')	0.5896277733360239	0.692299769840122	0.8060411954270338	0.2905844114759273	0.16056387146423384	-0.27494083557905447	-0.3198728615221341	-0.22723959369041566	-0.3188779557502795	-0.3103376053862264	-0.13678595414269498	-0.10806918887426915	-0.013012181315270236	-0.056519344960816696	-0.33739826374022197	-0.25403884346188577	-0.2302398897451629	-0.08624156304047473	-0.2510128384509346	-0.2048359259604566	1.4765685320865574	1.0084928275094824	3.137975725694377	0.8092762241392152	0.08878110039725665	-0.19362418448151264	-0.2053789759766324	-0.3864984792641877
('cluster-571', 'Majority-Treatment: PMA', 'number in clust: 364')	0.40899891410976696	0.2919986105503228	0.7120080948395918	0.21661889781198818	0.14950661585045374	-0.29549031599262277	-0.3740206755638981	-0.3929577625216136	-0.37351381699086006	-0.31760670182110146	-0.1539329441879446	-0.19646127575323502	-0.016269791226069547	-0.11806611312768533	-0.295504453099275	-0.22909889815051276	-0.26592734678290797	-0.09140241916525847	-0.24611709993155736	-0.21513440755736588	0.9394444384766725	0.5532883795178505	1.83355474711143	0.5187914179504369	-0.3719052976767406	-0.19715196135807364	-0.19539095197714362	-0.395168078871972
('cluster-597', 'Majority-Treatment: PMA', 'number in clust: 211')	0.8382924867766188	0.5811419209013438	0.8684580719710103	0.35649462966782	0.18749589839874398	-0.2868617196746877	-0.25963217488160173	-0.0601155570784306	-0.42015629045375086	-0.3061946623524263	-0.1627216282365574	-0.25043205837872395	-0.018736041102073837	-0.11143705737188812	-0.33327150919307474	-0.22578449927446376	-0.29835303993001866	-0.09663060227063108	-0.25105301832979626	-0.16947333494433325	0.6007672007298864	0.9136614170279832	2.3645025568880125	-0.4681231324869304	-0.2813552855343641	-0.24257127740343015	-0.19007074239926838	-0.40451152487719166
('cluster-1173', 'Majority-Treatment: PMA', 'number in clust: 101')	0.17668581822837565	0.299293522832288	0.3088049160186422	0.042191603034871225	0.021749210287232264	-0.2822644619150102	-0.3503433623420414	-0.27729110384343464	0.485383094850826	-0.31864875295999295	-0.13873234909163648	-0.2552341416946927	-0.017886446821094026	-0.12110819939878906	-0.30213426822579104	-0.24165729983054376	-0.18122195831826915	-0.09342895298666701	-0.2691056165543743	-0.17383012276284215	1.5132880365835866	1.506237803640158	1.9860213315210207	-0.2314078591713456	0.22359154562889022	-0.1680309365401261	0.4044576627599681	-0.42124569709780096
('cluster-1775', 'Majority-Treatment: PMA', 'number in clust: 175')	0.4608560771333097	0.29827473917668557	0.4424882196809931	0.08100828880561771	0.06013917541651367	-0.25764562756385495	-0.34621343000555843	-0.2796843268604273	-0.3820237292545778	-0.30758945842637375	-0.1330355885953864	-0.16074740171897403	-0.01656634469294138	-0.11176801743802843	-0.264173048069086	-0.2649237358952506	-0.3056274357846718	-0.09952017403424672	-0.24596674639908145	-0.22018420841463646	1.3526495774449099	0.5880383495380164	1.826383596599535	0.04990412115781735	-0.26656663067557823	-0.16950436795233892	1.5109805790354922	-0.3866447432474601
('cluster-887', 'Majority-Treatment: PMA', 'number in clust: 228')	0.5733161934333422	0.44839123844969664	0.5171254302482544	-0.06522014120574395	0.14912715033992877	-0.30502414282006085	-0.2967340756526988	-0.2219739661847472	-0.32142406687729713	-0.31019532955752915	-0.16417931839234795	-0.2504193120217355	-0.01399862418191793	-0.12486188714411024	-0.30058525921559953	-0.2117685971102965	-0.2356091696673363	-0.06896415265383449	-0.2451165031295099	-0.259204235016797	0.29808689938616906	0.6846040985756837	1.1691307936871642	-0.05696411018779573	-0.32134168023022647	-0.21284037239571366	0.6266212864052572	-0.4152024978226723
('cluster-1866', 'Majority-Treatment: PMA', 'number in clust: 146')	0.8052291418124066	1.1752577917005218	0.6442737716502371	0.31692863905562446	0.19920952923857285	-0.27842101383295004	-0.2802298134510192	-0.24261446648830925	-0.15692384792620825	-0.3210147835356234	-0.17223327143163822	-0.19086248850842383	-0.0016093506556005327	-0.12773602987532956	-0.3578488189961361	-0.2436520724569251	-0.28822781647122764	-0.10814393603634194	-0.23904171518980077	-0.29315313798900344	-0.034195646497811795	-0.07924498423287778	1.7786035047805893	0.2926640333177736	-0.3110934065289323	-0.16025127205197132	-0.24677178993496518	-0.38377851110079647
('cluster-1762', 'Majority-Treatment: PMA', 'number in clust: 61')	1.3703449894999382	1.0660331359678372	1.7480118534596227	0.7091556278004058	0.4259617003730193	-0.2868383296874948	-0.0684847667593604	-0.1495428920846233	0.9804047490904952	-0.29795469706405825	-0.11302854630203422	-0.27215469274224	-0.014536466720876103	-0.11835927096882201	-0.3779583417539389	-0.27575331133908493	-0.24233828594141746	-0.10557203206256276	-0.2502648690062274	-0.11375629622803649	-0.00994712018015279	-0.2575120600951263	3.0253951065687095	0.09702303392028883	-0.3087493475424588	-0.17628520379579357	-0.011067561012878221	-0.08663620547882385
('cluster-1865', 'Majority-Treatment: PMA', 'number in clust: 87')	0.9084679584705042	0.4512820266681777	1.0284736754196258	0.02209474891133915	0.22521448306282188	-0.32726293185386335	-0.3173415639304922	-0.3025940092911143	-0.177273605732208	-0.3138646617261495	-0.15353684932621298	-0.14507956703200164	-0.005733062813529181	-0.13558352322186543	-0.3947024230186402	-0.2893668527222944	-0.31819207747003536	-0.09146437143943172	-0.28779080533320195	-0.18648565858372643	0.26610831483427416	-0.44470508487084465	2.3996992329537803	0.029657418276334918	-0.4552834436988147	-0.021682478152297586	1.0761957405617117	-0.20401250046814845
('cluster-1474', 'Majority-Treatment: PMA', 'number in clust: 74')	0.8447213278015032	0.8480186233470678	0.9733056509023632	0.33377280252306524	0.2252124834273378	-0.29760308511904165	-0.2138775080956091	-0.23340109209689183	-0.27619744965278187	-0.3197221643735466	-0.0321491670611562	-0.24672243327206794	-0.005205670116686719	-0.11701975452258694	-0.31703088207720803	-0.28150980703196826	-0.23725254746129115	-0.055755831605877985	-0.2325401408242904	-0.21797897684295678	0.4804440562739981	0.07432672413352769	2.900424838167548	1.57181558885873	-0.2422466609499598	-0.2055897426162334	1.1341788492071947	-0.212313462401105
('cluster-1926', 'Majority-Treatment: PMA', 'number in clust: 180')	0.059185785068484306	-0.0001684135808933423	0.6423297875254431	0.013745967019383052	0.10550591857872804	-0.28210351529339533	-0.40165183084927114	-0.22101168663280485	-0.3796518610229407	-0.3157736247592016	-0.15289298521091088	-0.22923577732090508	-0.020954338300141755	-0.12963258510140857	-0.37302939593096973	-0.2254278031191696	-0.23504573695753783	-0.10397137654857384	-0.23879595230296324	-0.26505441652463757	0.13298550080296068	-0.5546795105755468	1.4287752989866902	0.9614991270871605	-0.31739851939909725	-0.15278841814896124	-0.39391064165991474	-0.06139512093286737
('cluster-600', 'Majority-Treatment: PMA', 'number in clust: 67')	0.2145913711098069	-0.08862961847469018	0.38335536476297516	-0.06883094192468833	0.049328577979554054	-0.2479235982558117	-0.3158444493211512	-0.3348777583078553	-0.43603294084715266	-0.31630430204749926	-0.09900108101716484	-0.1600744381038885	-0.01631645464073843	-0.13461262200284468	-0.3652419962156426	-0.24104942419997696	-0.06472076062801178	-0.11094171713548473	-0.22050722130465186	0.8468997557465286	0.16408610332435958	-0.10348565000372524	1.3343478228521328	-0.09232800774500641	-0.3500590185042062	-0.15501898383346308	-0.11269713510855367	-0.40066066594364047
('cluster-1526', 'Majority-Treatment: PMA', 'number in clust: 15')	0.1611679227179357	0.21594876234861787	0.12530418699228804	0.2647692896266448	0.00950798286417847	0.010835510984937215	0.034565440744166134	2.0744984499821415	-0.5707324985813385	-0.263877282580614	-0.17667936988685165	-0.16397785531118697	-0.003185084880228937	-0.13449842707177195	-0.176196504159345	-0.2290844495343094	-0.2438198660848983	-0.10984971018389117	-0.20621824626702417	-0.12717835726872764	-0.22261513675855366	-0.32160176420050635	1.501078670159512	-1.458372888573589	-0.3720507920967026	-0.281831229966185	-0.45742040972278153	-0.4285932191626491
('cluster-1366', 'Majority-Treatment: PMA', 'number in clust: 95')	0.04067627096459219	-0.04420397854069965	0.0938771271638045	-0.28333745924858167	-0.01289673207120089	-0.27484094001510834	-0.28673042195622767	0.6972477970316129	-0.3627282455300732	-0.3063748564411252	-0.14361547409226044	-0.2080973544212575	-0.020055027784146896	-0.12597489699421774	-0.38338662389213446	-0.24796509957002671	-0.2518041561559069	-0.08962045509845439	-0.2799897157060131	-0.2490032522479183	-0.02197611015380366	-0.39580285678526494	1.5886213665757236	-0.37570977350799606	-0.36667012733709864	-0.19760607944120887	-0.1827872731534068	-0.31146800879824443
('cluster-1235', 'Majority-Treatment: PMA', 'number in clust: 29')	0.1190097062780755	0.8650899509400181	0.3415413235451971	-0.05816531020848367	0.18125507206631616	-0.29613839133647485	0.08070147618019306	1.7435621828205754	-0.5060611194712307	-0.3265767931311368	-0.17667936988685165	-0.14436360384347488	-0.014475422876284063	-0.13558352322186548	-0.3328174505253046	-0.15157724112594043	-0.3329766043200309	-0.11094171713548473	-0.2927008847323922	-0.15316337484445194	0.5963627555717822	0.16617935369293846	1.8492109157519998	-0.31946870728683874	0.5444038000572208	0.3284726179475589	1.0291966392004024	-0.4285932191626491
('cluster-1916', 'Majority-Treatment: PMA', 'number in clust: 168')	0.28209887814466905	0.20068342811030151	1.335066143996647	0.5698719793766513	0.13358407439042252	-0.2871221657329008	-0.44542189410927674	-0.3170749591486301	-0.40656812376477763	-0.2875635468240988	-0.1406523703541321	-0.2681100275172743	-0.02197793141606024	-0.13558352322186543	-0.3425873156524513	-0.18879458409485816	-0.27512774671690904	-0.04646359168169432	-0.26365153594918506	-0.27282148262557954	0.3117032863749793	-0.01713227836227239	-0.48130184771344386	0.11895260529750093	-0.36465729268750235	-0.2575608445712368	-0.33230028697062547	-0.40335111319411854
('cluster-1697', 'Majority-Treatment: PMA', 'number in clust: 95')	0.9109809816830539	0.26989977180541747	2.2080628828233033	0.22344175966541258	0.35642000731990564	-0.3320392541742351	-0.33438993968902614	-0.2588310345662802	-0.34941011697046676	-0.30569348243956307	-0.15179280540085976	-0.2564335066927648	-0.010814955774795059	-0.09667890738521578	-0.44472020905049225	-0.28207033593595887	-0.14705112542865942	-0.10304732128842219	-0.2565418254537985	-0.2252493173803702	0.6836727621136177	-0.3387570974751803	-0.11400028219796766	0.729557074199451	-0.43243294630746015	-0.19691240614953856	-0.14163239254238635	-0.41473613951335736
('cluster-640', 'Majority-Treatment: PMA', 'number in clust: 100')	0.3937082990680386	0.5289658558630089	1.368494457320656	0.3390371641763267	0.2559648700165498	-0.29265613476146346	-0.33137509052008096	-0.4205329007370391	0.06451345620635802	-0.32606437305186603	-0.16538839848091508	-0.24728987132925154	-0.014178415246126704	-0.12742259834804492	-0.28755791672147263	-0.23151971654775402	-0.3009834315107358	-0.09136010038458102	-0.2452830427590789	0.10686901894606121	0.4054008509781328	0.5222227763491278	-0.32992601511464487	-0.007693941642716067	0.5979116409230071	-0.10825870356244581	0.025554825562241566	-0.36800041229053587
('cluster-830', 'Majority-Treatment: PMA', 'number in clust: 89')	0.5389206752833922	0.4948983197143721	2.2900274357819943	0.5265299666693718	0.44707886895687204	-0.2846869998497331	-0.3528255372795737	-0.22904062769808978	-0.41273197145149576	-0.3008205503187011	-0.14511058116351472	-0.20168788414226335	-0.01894552402312314	-0.12640929532162584	-0.4377969612921602	-0.24581459547611406	-0.29231504082319576	-0.09627827274240226	-0.28372287664536977	-0.021487894017338652	-0.2600099096451212	0.306013672911927	-0.01809767198198404	-1.0292792900076881	-0.2133208629913873	-0.022341859622503235	0.4377935109503737	-0.411780181771501
('cluster-753', 'Majority-Treatment: PMA', 'number in clust: 149')	0.2673672513928103	-0.09552209835773448	1.3527091107752098	0.2174747871995257	0.32422070007941195	-0.2927089474594894	-0.31047288529965106	-0.2106897283025882	-0.18362063454942895	-0.3224079481253859	-0.16260404755688593	-0.2260646600927107	-0.02112325480050588	-0.11636576152080555	-0.43312944965968886	-0.27408126067201943	-0.19889818978106827	-0.10093303481946478	-0.2525426920933831	0.007364735565856349	-0.24003251917830698	0.7473035254391651	0.056652441585781504	-0.10676605655717959	-0.4222383484442547	-0.09933389292696211	0.18101355657915777	-0.40678619540106997
('cluster-402', 'Majority-Treatment: PMA', 'number in clust: 45')	0.4569053071332506	-0.10216310390644523	0.993233353145853	0.9446784674554953	0.1796079732673159	-0.3363547786360304	-0.46700790487741434	-0.537721259009312	-0.5674123877034336	-0.3164049378192811	-0.17667936988685165	-0.22528160842199835	-0.0319390943212046	-0.09937718491667079	-0.42435929269184175	-0.2893668527222944	-0.3125170868475022	-0.05659217305586716	-0.25703393618584014	0.23461175808009224	0.1001552438597487	1.0747395092907226	0.153697780614836	-0.1640854063129419	-0.4437049893705741	-0.281831229966185	0.7125952763207627	-0.3276180987975294
('cluster-1942', 'Majority-Treatment: PMA', 'number in clust: 140')	0.9698110139228175	0.2741030626094904	1.1973244080947187	-0.05479565223271548	0.3449625108442762	-0.30170086228030557	-0.20146143180785755	-0.3498166036870842	-0.26492642571941216	-0.29651402906420626	-0.16983911512088126	-0.1601661196820909	-0.012578618891289091	-0.12198964247045115	-0.4470801610982951	-0.23231542804699468	-0.19077460396047868	-0.1062158370462989	-0.25418550097628834	-0.03871439685924109	-0.2034097050377966	0.49640193881790906	-0.25763301963089236	0.5354226383437475	-0.4024949226496699	-0.21319131279005465	-0.09922040493501885	-0.4196204110099158
('cluster-1861', 'Majority-Treatment: PMA', 'number in clust: 95')	0.8877490684511019	0.3267176153334123	1.5985225088501522	0.5898606066673493	0.21382227073448737	-0.2918939734883054	-0.16417395902192086	-0.2912946581213318	0.331519680639719	-0.30027461337943084	-0.15478933091729188	-0.2596686725582095	-0.003830928877969021	-0.1253148812579277	-0.42198542308993775	-0.21862789552150866	-0.2679516184774909	-0.03554186431022429	-0.2103471323566963	-0.17320302444295974	-0.013179951242160093	1.3195362631053262	-0.20689635205637522	0.6518446460958202	-0.3940739634151755	-0.12233108210337129	0.2660667475782013	-0.4073385934660024
