	('pCREB', 'Marker-type: phospho marker')	('pMAPKAP2', 'Marker-type: phospho marker')	('pERK1 2', 'Marker-type: phospho marker')	('pp38', 'Marker-type: phospho marker')	('pS6', 'Marker-type: phospho marker')	('CD14', 'Marker-type: surface marker')	('pPLCg2', 'Marker-type: phospho marker')	('pSTAT1', 'Marker-type: phospho marker')	('pSTAT5', 'Marker-type: phospho marker')	('HLADR', 'Marker-type: surface marker')	('CD1c', 'Marker-type: surface marker')	('CD19', 'Marker-type: surface marker')	('pSTAT3', 'Marker-type: phospho marker')	('CD123', 'Marker-type: surface marker')	('CD38', 'Marker-type: surface marker')	('CD16', 'Marker-type: surface marker')	('CD161', 'Marker-type: surface marker')	('CD66b', 'Marker-type: surface marker')	('CD57', 'Marker-type: surface marker')	('CD56', 'Marker-type: surface marker')	('CD3', 'Marker-type: surface marker')	('CD4', 'Marker-type: surface marker')	('IkBa', 'Marker-type: phospho marker')	('CD45', 'Marker-type: surface marker')	('CD27', 'Marker-type: surface marker')	('CD127', 'Marker-type: surface marker')	('CD25', 'Marker-type: surface marker')	('CD8', 'Marker-type: surface marker')
('cluster-1498', 'Majority-Treatment: Plasma', 'number in clust: 10')	0.1562062281847695	-0.4890376635475477	-0.7862059012745213	-0.29830044266880745	-0.10051286098385935	-0.03274344719800094	0.5692313893574548	-0.4578097676658809	0.3286097961093932	0.24571241226849272	0.23184158764611984	4.4063525144290265	0.024666622327881877	-0.04340178121312495	0.7835560079850139	-0.28936685272229445	-0.1527212723357941	-0.10055882974355254	-0.28090964612422153	-0.31878557896807713	1.4533270533899094	1.4264781777450075	0.1544677558178875	3.334715360510344	-0.12098366028107682	-0.281831229966185	0.9829201845230042	-0.4083322283798046
('cluster-1430', 'Majority-Treatment: PMA', 'number in clust: 16')	1.675220396639851	0.4723263702791752	1.2138533931754631	0.2660636184719218	0.1743529481365517	-0.30774571865774525	0.19714306260861564	0.05551185629789204	0.27352880309113037	0.06903816069874535	0.03027998285311869	2.300324437799717	0.008122381239739448	-0.10490865589881693	-0.3867095445581793	-0.12273736536339969	0.03205606295752858	-0.11094171713548473	-0.292496163407642	-0.06483995971502188	0.6497940288102371	0.7710753218737781	0.8598229217789676	1.8131867333864309	1.4804999509780288	0.24612649103322926	0.8410873900435328	-0.38515764055130575
('cluster-1589', 'Majority-Treatment: PMA', 'number in clust: 80')	0.25302597131371285	0.3171080623902845	0.7874650899610729	0.2674135026043696	0.14736272556882643	-0.2987923235649715	-0.3275125566128371	-0.27228182029983045	-0.47343768466658387	-0.3129266638030893	-0.17465638583606832	1.4742446225784889	-0.012688945167554493	-0.12099639798960754	-0.17220039343374688	-0.26214941606014663	-0.24849973110717896	-0.10880870532080449	-0.2526114263700067	-0.24685265318857705	0.5610930844406632	0.3471227301674537	-0.31258009154167776	0.39097306236893864	-0.3615267273491232	-0.05009190985157193	0.0012237958491141802	-0.35577104169717955
('cluster-1982', 'Majority-Treatment: PMA', 'number in clust: 11')	0.5756757552982681	0.7616399809547704	0.4299593857335666	0.6743465081220241	0.15980697824255224	-0.2145637851167842	0.21998785725020054	0.8036852033293117	-0.12968114323083885	0.08217962036159293	0.008351081534478354	-0.27215469274224	0.0015346498721013156	-0.05802073179628817	0.3932629723480934	0.5910168089149673	1.5453155349829057	0.8635346161324057	3.0825490014860915	0.8007098314705678	1.3306172292443121	0.7720524844322931	0.6930020774652692	3.775101934644617	0.19976363829809468	-0.07047316820981653	1.8998807489663299	0.4892579370190627
('cluster-408', 'Majority-Treatment: Plasma', 'number in clust: 9')	0.1879488757941972	0.04841747704649724	-0.27335179310119695	-0.22799620327862724	-0.13997850610085127	-0.19925836849109133	0.3070033433747592	-0.5410399035861237	1.8098547650322558	0.2897335294608043	-0.060953649632959336	-0.044946030968548545	0.05440382299507074	0.15953327039420861	0.19812298727367528	1.5069923811624597	0.17577141983596012	0.43859140401725666	2.3807447983550367	0.8596841883816624	0.5745318070482549	-0.09031506239959589	1.6367207566301123	4.1779880192855785	-0.372779168522017	-0.281831229966185	-0.19000817563278327	-0.2344249372988092
('cluster-1039', 'Majority-Treatment: PMA', 'number in clust: 14')	-0.3497265199863333	-0.6257999158034707	-0.24157149323365393	-0.4387863524743203	-0.048040714269182945	-0.28327324391790604	-0.4162592459855154	-0.26893484900669484	-0.271320456363424	-0.1441532645345966	-0.08426054612066354	-0.16646147776099393	-0.023138905634899006	-0.07753641109551193	0.05952580380204908	-0.2030409404042979	-0.14346399358901407	0.014471335839837021	0.8921807940999985	-0.3339017090815672	0.07944009691203342	-0.2440805577919759	-0.7486625181389223	6.932426751356785	-0.4105233170790905	0.032260269782927585	-0.10948222100633342	-0.3043091675142484
('cluster-822', 'Majority-Treatment: Plasma', 'number in clust: 35')	-0.13938374587747665	-0.6037747257220697	-0.7525470244438547	-0.5584684885690514	-0.19107030276395578	-0.22245506976807627	-0.24156231114410762	-0.33379616149913677	0.9064095046110737	-0.18839567822323008	-0.17452391317495655	-0.0892756803394289	0.008467505794663521	-0.13558352322186543	-0.23397303747949116	-0.1564425591324491	0.02946602802095993	-0.09858271419143562	-0.16789490311358216	0.1118043338016117	0.6250422921509795	-0.3695910759440915	0.16770751365998265	3.199512048272615	-0.1085425720954018	-0.2818312299661851	0.774692034108914	-0.1485825072447139
('cluster-1209', 'Majority-Treatment: PMA', 'number in clust: 210')	0.3995215285386552	0.4623132569771347	0.41849006943900113	0.030508149431916955	0.14536732743965688	-0.2893032593965007	-0.3117803731421007	-0.2533264197535948	-0.37506938756674835	-0.313577275055104	-0.15501773730030882	-0.2527671993404152	-0.010461818417678365	-0.11600138086166603	-0.2648191973371144	-0.2032344775005219	-0.28298395731768716	-0.09979991429296527	-0.2542142520055839	-0.20627543591826328	0.9699002320974278	0.35949461860188986	0.9359780650483184	-0.8291223548289932	0.03258985346976824	-0.21119841076066137	-0.18703985689179492	-0.40588114363655087
('cluster-1096', 'Majority-Treatment: PMA', 'number in clust: 281')	0.08795406876134235	0.23384312903105042	0.30904576797721156	-0.13753770867217832	0.07032455034760646	-0.3126081792852847	-0.3961353701319039	-0.39792519804040555	-0.33702399335041083	-0.31617127506949655	-0.13330165221849047	-0.2169831166883723	-0.021877685494515145	-0.1195839762791061	-0.2737958579232958	-0.24414126381137208	-0.2673503028787935	-0.0828617403539954	-0.26434324131089887	-0.2983416326267073	0.6935553846472808	-0.06720079269936526	1.5679697805812838	-0.4534734279888164	-0.3392052931798811	-0.24972595350261118	-0.29494704222921053	-0.39897710228984645
('cluster-1339', 'Majority-Treatment: PMA', 'number in clust: 299')	0.2196276127706967	0.5545195848809645	0.5844802236532762	0.6145453793406256	0.11836030560801365	-0.2848089559464843	-0.4124666954016467	-0.2530736209054355	-0.47414586589292024	-0.3177871982084065	-0.15660768771048153	-0.24991993795126477	-0.012230811476888362	-0.10499762166960026	-0.2743157153816136	-0.22130272140648719	-0.2802607578233566	-0.08969655573807438	-0.25592551629161586	-0.2610692440784609	0.25965523404379615	0.2865652270029115	0.897063831477282	-0.4909735397379424	-0.37720481138372974	-0.23026017906812238	-0.3989583408767361	-0.402542412148216
