	A549_LUNG	NCIH1355_LUNG	NCIH23_LUNG	NCIH441_LUNG	NCIH1792_LUNG	NCIH1299_LUNG	NCIH1944_LUNG	NCIH358_LUNG	NCIH1734_LUNG	NCIH1650_LUNG	HCC827_LUNG	NCIH1975_LUNG	CALU3_LUNG	NCIH2106_LUNG	NCIH2342_LUNG	LOUNH91_LUNG	HCC15_LUNG	NCIH1703_LUNG
ZGLP1	5.077698	5.263017	4.920712	5.076672	4.378686	5.762474	4.660529	4.918075	5.159935	5.022312	5.246787	4.760579	5.252824	5.295432	4.963332	4.395891	4.66905	5.098353
LOC100126784	3.77238	3.874958	3.803537	4.318972	4.102063	4.11965	3.675274	4.02101	3.615663	3.702511	4.080061	3.908373	3.753795	4.047268	3.776808	4.007885	3.827789	3.744753
EGOT	4.056044	4.129316	4.107868	3.891498	3.955068	3.906664	4.246357	3.743084	3.731059	3.877054	5.215369	3.800164	4.850704	3.689102	3.907897	4.101299	4.080744	3.850692
GHRLOS	4.667681	4.624574	4.944326	4.882538	4.984562	5.246873	4.345846	4.990128	4.517181	4.480445	5.24379	4.869872	4.58511	4.386955	4.682513	4.742196	4.734405	4.920243
LOC100127888	4.45934	3.915559	4.131243	9.3785	3.969819	3.963646	4.624588	5.315059	4.219266	4.087092	4.035818	4.244857	4.23583	5.202618	4.586194	4.437082	4.968278	4.248596
LOC100127891	5.96942	5.426673	6.536882	6.388623	5.96455	6.215775	5.451375	6.539338	4.999102	6.361909	5.500235	5.823643	5.196422	7.35967	5.486187	5.754071	5.536587	5.443312
HECW1-IT1	3.521346	3.357747	3.727897	3.667039	3.383382	3.401082	3.537644	3.573487	3.495933	3.469652	3.686047	3.545504	3.730121	3.619331	3.71806	3.403216	3.998905	3.533695
LOC100127974	3.804555	3.6603	3.46575	3.710744	3.575335	3.748993	3.881745	3.488655	3.585149	3.391411	3.417	3.517827	3.793602	3.392073	3.545602	3.657887	3.758831	3.786494
LOC100127983	6.554458	7.156984	4.35339	4.516437	8.792627	10.48243	4.533331	4.200806	8.635086	4.321711	4.510969	4.216991	8.176621	8.421236	4.44395	4.267448	4.687282	7.737684
WWTR1-AS1	3.991818	4.389477	3.815787	4.398939	3.599538	3.956158	4.262464	4.127481	3.696963	4.034432	3.743526	3.816399	4.019557	3.708649	3.937152	3.735849	3.959317	4.062775
LOC100128071	4.579513	5.468045	5.102084	4.758254	4.545283	5.030516	4.970269	4.732501	4.431024	5.618127	4.47313	4.62536	4.562778	5.457865	4.581585	6.936385	5.049568	4.548698
LOC100128098	4.26887	4.024312	8.245984	4.114422	7.330946	4.502429	3.993796	4.577928	4.025887	4.341926	4.270461	3.91296	4.332847	3.936229	4.206542	4.193637	4.52288	4.010075
HGC6.3	3.958754	3.856656	4.045532	4.045682	3.879219	3.849239	3.593847	4.000134	3.666548	3.807614	3.761631	3.875945	3.877458	3.94445	4.016869	4.104866	3.709763	3.751066
LOC100128126	4.238083	3.848144	4.05654	4.421151	3.927369	4.345146	4.22056	4.137065	4.117048	4.108359	3.928748	4.024152	4.424764	3.932422	4.089649	4.264788	4.194079	4.031909
LOC100128139	3.126343	3.429702	3.677258	3.405858	3.427871	3.442128	3.287054	3.272575	3.622572	3.445375	3.259725	3.27451	3.420767	4.114586	3.584063	3.555678	3.478515	3.469824
LOC100128164	4.630365	4.165509	4.673827	3.695621	4.244114	4.790703	4.240766	4.259995	4.430284	4.337065	4.342243	4.151125	4.635114	4.599506	4.522847	4.018083	4.359897	4.31884
LOC100128176	3.573087	3.480384	3.669431	3.449943	3.573648	3.581221	3.461502	3.354801	3.419585	3.410068	3.473273	3.499789	3.438906	3.427894	3.435823	3.427145	3.569413	3.366487
LOC100128191	5.492455	6.955246	6.726992	5.654781	4.946151	6.355324	5.946664	4.817202	6.531961	6.229929	4.5832	4.852535	5.284588	6.129206	6.022318	5.626568	5.363067	6.639286
LOC100128239	4.067798	3.917605	3.965624	3.790714	3.788493	4.030772	3.964082	3.76624	4.442133	3.941882	3.844786	3.691298	3.837572	5.833042	4.00047	3.897968	4.196092	3.976033
LOC100128252	4.775512	4.603906	5.207087	8.335557	4.938128	8.630725	5.763237	10.01285	4.576403	8.606981	10.91248	10.06769	4.702414	4.389758	5.61779	9.658789	4.379125	10.80613
LOC100128288	3.837463	5.0125	3.681303	3.945802	3.318222	4.198966	3.796948	4.047902	4.098164	3.740844	4.115505	5.280402	3.423906	3.998106	4.164907	3.33143	3.456963	3.740552
LOC100128292	4.837592	4.510455	4.858844	4.620418	4.610373	4.575895	4.492025	4.599678	4.578542	4.697312	4.329208	4.623884	4.518442	4.609449	4.503043	4.670387	5.050361	4.707819
LOC100128343	6.226957	6.04414	6.57893	6.389389	6.490308	6.429407	6.528328	6.476483	6.073333	6.022972	6.506442	6.080743	6.473868	6.638762	6.51165	5.953688	6.67366	6.316947
LOC100128361	4.976811	4.985293	5.377066	5.015049	4.71188	5.733202	5.016877	5.52119	4.966231	4.98093	5.151849	4.546934	5.092516	6.873926	5.682002	4.813009	5.864117	5.230022
LOC100128374	3.872756	3.577669	3.810109	4.036741	4.013458	4.364158	4.193239	3.980633	3.997493	3.870269	3.913612	4.1085	4.253788	4.085239	4.47266	4.306435	4.313687	4.292161
LOC100128496	4.944587	4.678129	4.869151	5.187492	5.087663	4.992814	4.435933	4.899375	4.208187	4.614395	4.581521	4.742682	4.769101	4.044417	4.716	4.563855	4.511578	4.631935
LOC100128511	3.85742	4.013898	3.814809	3.962014	4.020799	3.593365	3.697654	4.193776	3.443155	3.949665	3.791162	3.929848	3.748121	4.098596	4.564052	4.150894	4.162081	3.761741
LOC100128554	3.699665	3.619345	3.432383	3.337649	3.601994	3.499583	3.64517	3.647254	3.327815	3.486714	3.728787	3.507423	3.735375	3.49724	3.44741	3.6226	3.718709	3.524573
LOC100128590	3.830235	3.726251	3.705465	3.683271	3.559044	3.911546	3.643645	3.876199	3.559634	3.679998	3.614817	3.488692	3.533569	4.747227	3.509246	5.351566	3.709215	3.528864
LOC100128640	4.279945	4.266279	4.19043	4.401926	4.512174	4.994385	4.642098	4.623004	4.361883	4.208185	4.790847	4.69563	4.431457	5.884568	4.778166	5.033731	4.360219	4.599952
LOC100128653	4.914431	4.72484	5.173528	4.945683	4.376104	5.012673	4.547474	4.782393	5.151855	5.3478	4.161896	5.141944	5.089334	4.467373	4.297905	5.466787	5.066557	4.439836
OST4	12.38241	12.43605	12.01526	12.22844	12.35182	11.73921	12.14688	12.39352	12.55769	12.47751	12.05854	12.83106	11.07024	12.73481	12.17182	12.1738	11.61968	12.36865
LOC100128737	6.601416	7.215255	6.974815	6.360103	6.028912	7.53997	5.957604	5.81375	6.210519	6.044026	6.419069	6.273256	5.461834	6.688326	6.022879	6.60891	6.007617	6.455003
LOC100128750	5.933142	5.179275	4.61294	4.884032	4.372507	4.54285	5.411607	5.12695	5.171415	5.030777	5.127108	4.413084	6.126658	3.77917	5.261895	4.388657	4.020872	4.207245
LOC100128751	4.512817	3.858405	4.237824	4.612685	3.928022	4.447685	4.098229	4.083024	3.891543	3.966709	4.23542	4.162941	4.145851	3.884978	4.244117	4.359243	4.177997	4.02995
LINC00476	4.455399	5.934426	4.723308	4.48593	4.357865	5.402056	5.252911	6.391088	5.29385	4.483067	5.818846	5.030944	4.312196	5.600168	4.970953	5.18487	5.624537	5.150275
LOC100128788	4.355509	5.287601	4.32403	4.762507	4.402727	4.836424	4.5697	4.533198	4.271189	4.732401	4.411139	5.095255	5.028575	4.453101	4.212688	4.439183	5.15879	4.552597
LOC100128822	6.663746	5.637727	6.667571	8.994038	6.83792	8.871425	7.415559	8.636859	8.247027	7.738679	8.044915	8.742335	8.183569	10.5692	9.646504	9.020201	7.673175	6.949458
LOC100128840	4.771478	4.199979	4.498636	4.508251	4.137499	4.364089	4.218887	4.262323	5.708232	4.122776	6.465546	7.52559	3.865424	4.103952	4.703722	4.386142	4.622489	4.31505
LOC100128881	5.905509	5.147752	6.033516	5.592302	6.073176	6.148266	5.257811	5.928475	4.814236	6.039293	5.862813	5.648542	5.920367	5.107715	5.170584	5.096247	5.645922	5.04853
LOC100128893	5.808329	5.971745	5.762511	6.035314	6.234712	7.129273	5.020076	6.160371	5.44307	5.743291	5.95686	5.595126	6.819414	4.775841	5.79252	6.82054	5.696583	5.566528
LOC100128909	4.322354	4.489383	4.474463	4.389426	4.334493	4.213374	4.418098	4.156988	4.428061	4.1935	4.441579	4.356268	4.369878	4.192275	4.411473	4.283446	4.558775	4.220265
ZBTB42	4.759513	5.382942	5.4333	5.664684	4.72048	5.288853	5.50995	5.874995	6.014473	5.177643	5.15173	5.920014	5.320848	5.803087	7.214799	4.124114	5.967834	6.671101
LOC100128946	4.518141	4.483142	4.462839	4.656533	4.397023	4.694381	4.27865	4.356326	4.314219	4.387043	4.246141	4.244699	4.445058	4.356787	4.775553	4.210291	4.742272	4.542099
MAPT-AS1	4.109249	4.170363	4.529972	4.272931	4.258014	4.287535	4.368751	4.368233	4.22075	4.216186	4.492666	4.179584	4.252324	4.284742	4.425436	4.360082	4.797786	4.179457
LOC100128993	4.32127	3.546092	4.131243	3.930529	3.842092	3.884158	4.049252	3.729959	3.741984	3.806195	3.818668	3.891614	3.896981	3.805598	3.852923	3.754725	4.044756	3.579268
C20orf181	4.242641	4.293182	4.046158	4.199574	4.183148	4.172506	4.180374	4.100722	4.116964	4.037118	3.939407	4.145723	4.201046	3.871496	4.445252	3.897531	4.107608	3.998239
LOC100129034	4.792678	4.804743	5.273009	5.815852	5.02161	4.893498	4.791824	5.634627	5.265071	4.937073	5.841551	5.387271	5.270074	5.040616	5.573324	4.933684	5.234476	4.666599
LOC100129098	4.805287	4.500692	4.823708	4.683842	4.804654	4.581312	4.719547	4.498671	4.477437	4.629744	4.594326	4.732765	4.934591	4.435946	4.366854	4.926182	4.747203	4.466396
LOC100129104	4.752734	4.530611	4.844548	4.955508	4.582195	4.199936	5.497528	4.471043	4.11091	4.800536	5.63371	4.428795	5.468414	4.738774	5.369742	4.684629	4.534306	4.265127
KHDC1L	3.841277	4.402516	3.866582	6.296319	8.111957	3.911751	4.090082	4.487175	4.065369	3.888482	3.927891	3.822348	3.865304	3.746187	4.543643	4.188771	4.257131	4.120465
LOC100129195	4.09133	4.525581	5.036823	3.836522	3.901646	5.720018	4.668765	4.536504	4.249013	3.896229	3.977137	4.233158	4.227823	6.378969	4.092712	4.985097	6.375718	4.680006
LOC100129196	3.572909	4.194206	3.920115	4.053587	3.605342	3.55497	3.911003	3.708751	3.619323	3.863044	3.819532	3.768444	3.841459	4.34534	4.022404	3.677423	3.530832	3.89437
LOC100129250	6.298224	6.774394	5.411726	6.403626	6.232701	6.995315	6.646101	6.311205	6.020298	6.847509	6.22702	6.454904	5.409707	6.91117	6.096068	6.612821	6.395391	5.801187
C1orf68	4.0113	3.765554	4.600851	3.633076	3.880166	3.86886	3.926071	4.0097	4.104548	3.767203	4.24406	3.973353	4.128005	3.800936	3.857752	3.972963	3.851092	3.904524
LOC100129361	10.95191	11.49862	11.86806	10.45446	11.14264	11.91603	11.26205	10.68298	10.71069	10.88473	11.54818	10.05505	10.10823	11.03835	10.28226	10.51587	10.92746	12.01811
LOC100129387	7.406581	7.281394	7.350194	7.393015	7.420004	7.344904	7.492292	8.376717	6.874336	6.999183	6.396262	6.694272	7.437208	7.07286	7.068381	7.198665	7.435778	7.000939
LOC100129427	4.063644	4.27967	4.108973	4.176873	3.701466	4.255611	3.788181	4.165532	3.919125	3.882155	4.116826	3.715849	3.924005	3.811118	4.044915	4.013492	4.189924	4.031512
DPY19L1P1	5.082766	4.363906	4.131243	5.560074	4.415387	4.328838	5.981843	5.951111	4.957804	4.845857	4.639409	5.147344	4.545234	5.122156	5.219588	5.563416	4.406551	4.989165
