	A549_LUNG	NCIH1355_LUNG	NCIH23_LUNG	NCIH441_LUNG	NCIH1792_LUNG	NCIH1299_LUNG	NCIH1944_LUNG	NCIH358_LUNG	NCIH1734_LUNG	NCIH1650_LUNG	HCC827_LUNG	NCIH1975_LUNG	CALU3_LUNG	NCIH2106_LUNG	NCIH2342_LUNG	LOUNH91_LUNG	HCC15_LUNG	NCIH1703_LUNG
LOC100009676	5.623846	5.512316	6.20975	6.082559	5.132831	5.967706	5.904609	5.410033	5.953206	5.669378	5.922477	6.361191	5.990698	5.543874	6.069033	5.387873	5.304519	5.65562
AKT3	7.443999	4.522606	5.830078	5.768466	5.474068	6.0608	6.468147	5.286426	4.733952	6.975063	4.8918	4.75999	7.308923	5.357178	4.81176	7.126169	4.439934	7.777414
MED6	9.658872	9.666788	9.225666	9.858377	9.441437	9.855072	9.662767	10.36407	8.497444	9.29355	9.851282	10.28693	8.680612	9.626057	9.562838	7.724197	8.659831	9.014706
NR2E3	4.101093	4.347763	4.308604	4.095514	3.963325	3.967261	3.618972	3.787069	3.919206	3.802911	3.869319	3.872442	4.159174	3.743611	4.232955	3.580644	4.281403	3.784199
NAALAD2	3.898444	3.890555	4.224154	3.573228	3.634074	3.708487	3.727122	3.783476	3.660163	4.023117	3.663787	3.758798	3.780975	3.574883	4.295965	4.096521	3.643852	3.520335
CDKN2B-AS1	4.056024	4.149331	4.000518	4.093254	3.957609	4.087275	4.138611	3.908406	4.2623	3.900762	3.98906	4.337391	4.2332	3.98364	3.9982	4.289166	4.450487	4.455939
LOC100049716	4.811151	4.911649	4.362863	5.143806	4.373967	4.461457	4.680649	4.573766	5.138723	4.998804	4.223749	4.383649	4.932699	4.834369	4.549661	4.819762	4.986612	4.418637
NAALADL1	4.696332	4.481675	4.888987	4.5494	4.508343	4.715687	4.498222	4.59844	4.401429	4.524454	4.308997	4.469419	4.484543	5.870841	4.622428	4.605432	4.677766	4.405756
ACOT8	7.073425	6.298025	8.504803	8.318561	7.693896	8.29486	7.055229	7.817835	7.781173	8.053963	7.851807	8.534733	7.768649	9.229816	8.147571	9.411738	7.629118	7.131537
ABI1	8.887021	8.571385	8.435504	8.91129	8.646866	8.466707	8.588101	8.019057	9.282439	9.176922	9.179703	8.968915	9.248435	7.990148	9.667444	8.760313	8.495126	9.247077
GNPDA1	9.381751	9.666563	9.728247	9.75711	9.892566	9.729774	9.787346	9.009768	9.336845	9.128891	10.01728	10.26985	10.17203	9.590718	10.26948	9.876647	9.255236	9.919285
KCNE3	4.1173	4.18352	4.018746	4.256513	4.92302	4.108716	5.394491	4.013392	4.118903	3.946531	4.022391	4.144741	4.386936	3.838508	4.007144	4.071628	5.063485	3.923785
SNHG8	10.27804	11.30715	9.32516	11.28812	10.87084	10.71301	11.60938	11.55849	9.021777	9.903034	10.85062	10.99583	9.622261	9.655917	10.75592	10.30542	9.437181	10.59259
ZBTB33	8.083723	7.600845	8.160939	8.658327	7.953507	7.514823	7.97446	8.35675	7.855948	7.504771	9.316556	8.330727	8.558355	8.979016	8.448018	8.032799	7.707798	8.733156
CDH2	9.082051	4.218793	6.219952	4.724644	10.79625	7.190005	5.012311	7.392178	8.566657	5.026421	4.689401	4.399701	5.317688	8.778955	4.53737	6.516445	6.736283	7.833156
ZSCAN30	4.863274	6.18815	5.625944	6.799638	6.428244	6.579419	6.23783	6.56056	6.611474	6.319021	7.110436	6.654362	6.250038	6.178707	6.283871	7.057964	4.645276	7.042278
ANKRD26P3	5.485794	4.98913	4.804297	4.916753	4.715161	5.111577	4.883209	4.625094	4.716366	5.002126	4.809862	4.783389	5.04182	7.264147	5.216338	4.605572	5.049095	4.993848
TANK	9.43743	8.78099	8.711354	8.941904	8.349526	8.753336	10.17594	9.141981	8.676516	8.919898	8.934848	9.372242	9.389252	8.025662	9.975138	8.766554	9.410134	9.183364
TMEM170B	6.175284	6.1827	5.123512	5.623257	5.72314	6.338128	7.19173	4.502861	5.777638	4.350803	5.623714	3.985267	5.774819	8.69365	7.369552	5.823829	4.896115	4.697089
SRA1	9.447899	8.878803	9.572651	9.077794	9.983967	10.31959	9.16711	9.309605	9.233951	9.741015	9.086111	9.771076	8.325397	9.082032	9.457549	10.27282	10.00082	9.349618
HOTAIR	3.730798	4.339194	4.354814	3.434758	3.360481	3.387037	4.275848	3.352126	3.520577	3.670333	4.134486	3.318423	3.529456	3.456761	3.560875	6.353836	3.74826	3.469325
